Time,replica
2020-07-24 10:15:27.827,1.0
2020-07-24 10:15:42.827,1.0
2020-07-24 10:15:57.827,1.0
2020-07-24 10:16:12.827,1.0
2020-07-24 10:16:27.827,1.0
2020-07-24 10:16:42.827,1.0
2020-07-24 10:16:57.827,1.0
2020-07-24 10:17:12.827,1.0
2020-07-24 10:17:27.827,1.0
2020-07-24 10:17:42.827,1.0
2020-07-24 10:17:57.827,1.0
2020-07-24 10:18:12.827,1.0
2020-07-24 10:18:27.827,1.0
2020-07-24 10:18:42.827,1.0
2020-07-24 10:18:57.827,1.0
2020-07-24 10:19:12.827,1.0
2020-07-24 10:19:27.827,1.0
2020-07-24 10:19:42.827,1.0
2020-07-24 10:19:57.827,1.0
2020-07-24 10:20:12.827,1.0
